category,S2_srw_1,S2_srw_2,S2_srw_3,S2_srw_4,S2_srw_5,S2_srw_6,S2_srw_7,S2_srw_8,S2_srw_9,S2_srw_10,S2_srw_11
forest,0.16010,0.23750,0.10110,0.16410,0.32350,0.32950,0.28090,0.18200,0.15740,0.17540,0.19210
tea,0.16690,0.26890,0.10110,0.19120,0.43620,0.44440,0.36820,0.20840,0.15570,0.19180,0.19450
tea,0.19920,0.29770,0.10110,0.17830,0.39510,0.40320,0.34420,0.19860,0.16540,0.18530,0.19550
tea,0.15900,0.26050,0.10110,0.20020,0.45990,0.46790,0.38360,0.20540,0.15560,0.19340,0.19320
tea,0.15990,0.25980,0.10110,0.19580,0.45200,0.45890,0.38200,0.20330,0.15460,0.19040,0.19380
tea,0.16860,0.26200,0.10110,0.19220,0.40860,0.41760,0.35540,0.19840,0.15370,0.18780,0.19420
tea,0.16410,0.26370,0.10110,0.20190,0.44140,0.45270,0.36750,0.20250,0.15340,0.18870,0.19400
forest,0.15130,0.23550,0.10110,0.18390,0.39450,0.38810,0.32840,0.18260,0.15350,0.17690,0.19150
other,0.18980,0.29380,0.10110,0.18780,0.42300,0.41720,0.36420,0.21290,0.16100,0.19180,0.19590
water,0.11510,0.13190,0.10090,0.14380,0.15720,0.18760,0.16840,0.16520,0.16430,0.19200,0.20460
water,0.10800,0.11650,0.10100,0.11730,0.15050,0.16050,0.15880,0.15290,0.15320,0.18180,0.20400
water,0.10570,0.11100,0.10090,0.11270,0.14460,0.15300,0.15300,0.14870,0.15330,0.18440,0.20190
water,0.10930,0.12030,0.10100,0.12850,0.15490,0.16120,0.16000,0.15400,0.15470,0.18300,0.20600
water,0.11040,0.11820,0.10070,0.11510,0.15200,0.16180,0.16110,0.15560,0.15890,0.18620,0.20860
water,0.10510,0.11080,0.10090,0.11290,0.14400,0.15220,0.15180,0.14780,0.15270,0.18060,0.20230
water,0.13010,0.15950,0.10110,0.16160,0.17020,0.19940,0.18650,0.17160,0.16860,0.19520,0.21620
water,0.11280,0.12260,0.10090,0.11900,0.15620,0.16630,0.16350,0.15730,0.16160,0.18850,0.21000
other,0.21370,0.27050,0.10100,0.17130,0.25380,0.28790,0.27300,0.21940,0.19430,0.19840,0.20810
forest,0.14910,0.21730,0.10090,0.16610,0.31020,0.31260,0.26640,0.17930,0.15200,0.17950,0.18970
forest,0.14400,0.20550,0.10090,0.16490,0.28200,0.28770,0.24480,0.16360,0.14650,0.16870,0.18790
forest,0.13520,0.19610,0.10100,0.16330,0.30450,0.31290,0.27190,0.17220,0.14730,0.17300,0.18890
other,0.27520,0.29800,0.10120,0.15550,0.30010,0.28900,0.24530,0.21110,0.20150,0.20620,0.21740
other,0.31970,0.37280,0.10120,0.16250,0.31210,0.31660,0.25900,0.24370,0.21780,0.21480,0.21960
forest,0.15330,0.21870,0.10110,0.16270,0.31680,0.31500,0.27300,0.17590,0.15180,0.17320,0.19220
other,0.20810,0.29960,0.10120,0.17640,0.35190,0.36460,0.32800,0.20940,0.17020,0.19120,0.19880
other,0.24490,0.31580,0.10110,0.17590,0.32310,0.32890,0.29920,0.21870,0.19250,0.19760,0.20160
forest,0.12900,0.17470,0.10110,0.16910,0.25950,0.26800,0.23510,0.16020,0.14820,0.16950,0.18870
other,0.21170,0.27170,0.10120,0.17080,0.30270,0.30690,0.28300,0.21260,0.18120,0.18790,0.19890
tea,0.20230,0.30050,0.10130,0.17410,0.35300,0.36290,0.31710,0.20550,0.17230,0.19060,0.20030
tea,0.19860,0.29160,0.10130,0.17250,0.35520,0.34290,0.29830,0.19140,0.17040,0.17970,0.19510
tea,0.24200,0.32970,0.10110,0.19820,0.30340,0.29640,0.27270,0.22040,0.17970,0.19710,0.19530
